Дата / Дата / Дата / Дата / Дата / 1,Дефицит (+)/ профицит (-) ликвидности / Дефицит (+)/ профицит (-) ликвидности / Дефицит (+)/ профицит (-) ликвидности / Дефицит (+)/ профицит (-) ликвидности / Дефицит (+)/ профицит (-) ликвидности / 2 = 4 - 9 + 13 - 14 + 15,Дефицит (+)/ профицит (-) ликвидности без учета корсчетов / Дефицит (+)/ профицит (-) ликвидности без учета корсчетов / Дефицит (+)/ профицит (-) ликвидности без учета корсчетов / Дефицит (+)/ профицит (-) ликвидности без учета корсчетов / Дефицит (+)/ профицит (-) ликвидности без учета корсчетов / 3 = 4 - 9 + 13,в том числе / стандартные инструменты денежно-кредитной политики / требования Банка России к кредитным организациям / требования Банка России к кредитным организациям / требования Банка России к кредитным организациям / 4 = 5 + 6 + 7 + 8,в том числе / стандартные инструменты денежно-кредитной политики / в том числе / аукционы / репо и «валютный своп»** / 5,в том числе / стандартные инструменты денежно-кредитной политики / в том числе / аукционы / обеспеченные кредиты / 6,в том числе / стандартные инструменты денежно-кредитной политики / в том числе / операции постоянного действия / репо и «валютный своп»** / 7,в том числе / стандартные инструменты денежно-кредитной политики / в том числе / операции постоянного действия / обеспеченные кредиты / 8,в том числе / стандартные инструменты денежно-кредитной политики / обязательства Банка России перед кредитными организациями / обязательства Банка России перед кредитными организациями / обязательства Банка России перед кредитными организациями / 9 = 10 + 11 + 12,в том числе / стандартные инструменты денежно-кредитной политики / в том числе / депозиты / аукционы / 10,в том числе / стандартные инструменты денежно-кредитной политики / в том числе / депозиты / операции постоянного действия / 11,в том числе / стандартные инструменты денежно-кредитной политики / в том числе / КОБР / КОБР / 12,"в том числе / операции на возвратной основе, не относящиеся к стандартным инструментам денежно-кредитной политики (в том числе ДМ)* / операции на возвратной основе, не относящиеся к стандартным инструментам денежно-кредитной политики (в том числе ДМ)* / операции на возвратной основе, не относящиеся к стандартным инструментам денежно-кредитной политики (в том числе ДМ)* / операции на возвратной основе, не относящиеся к стандартным инструментам денежно-кредитной политики (в том числе ДМ)* / 13",Справочно: / Средства банков на корсчетах в Банке России / Средства банков на корсчетах в Банке России / Средства банков на корсчетах в Банке России / Средства банков на корсчетах в Банке России / 14,"Справочно: / Обязательные резервы, подлежащие усреднению на корсчетах*** / Обязательные резервы, подлежащие усреднению на корсчетах*** / Обязательные резервы, подлежащие усреднению на корсчетах*** / Обязательные резервы, подлежащие усреднению на корсчетах*** / 15"
19.04.2021,"-2 045,6",-9129,1282,1026,0,05,251,"1 646,2","1 017,3",1002,5287,6051,"4 066,8","2 934,1"
16.04.2021,"-1 898,4",-9282,1081,1026,0,04,51,"1 641,5","1 017,3",957,5285,6052,"3 904,3","2 934,1"
15.04.2021,"-1 826,2",-9313,1082,1027,0,04,51,"1 644,2","1 017,3",985,5284,6047,"3 829,1","2 934,1"
14.04.2021,-2 071,"-1 546,7",1081,1027,0,03,51,"2 259,2","1 510,2",1029,6461,6044,"3 458,4","2 934,1"
13.04.2021,"-1 916,5","-1 540,3",108,1027,0,03,51,"2 252,6","1 510,2",964,646,6042,"3 310,3","2 934,1"
12.04.2021,-1 917,"-1 542,6",1083,1027,0,06,51,"2 255,2","1 510,2",991,6459,6043,"3 308,5","2 934,1"
09.04.2021,"-1 760,1","-1 540,9",1084,1027,0,03,54,"2 253,3","1 510,2",974,6457,604,"3 153,3","2 934,1"
08.04.2021,"-1 824,6","-1 543,3",1082,1028,0,04,51,"2 255,7","1 510,2",999,6456,6042,"3 215,5","2 934,1"
07.04.2021,"-1 858,6","-3 211,8",3668,1028,0,03,2637,"4 182,9",3 235,3024,6455,6043,"1 553,1","2 906,3"
06.04.2021,-1 966,"-2 084,2",1081,1028,0,03,51,"2 798,2","1 962,8",1899,6455,6058,"2 788,1","2 906,3"
05.04.2021,"-1 736,1","-1 681,8",1201,1028,0,02,171,"2 407,8",1 650,1124,6454,6059,"2 960,6","2 906,3"
02.04.2021,"-1 579,4","-1 528,5",2691,1028,0,03,1661,"2 404,3",1 650,1091,6452,6066,"2 957,2","2 906,3"
01.04.2021,"-1 502,6",-1 461,3493,1028,0,04,2461,"2 417,2",1 650,1221,6451,6069,"2 947,9","2 906,3"
31.03.2021,"-1 378,2","-1 396,4",3583,1028,0,04,2551,"2 361,5","1 635,3",1065,6197,6068,"2 888,1","2 906,3"
30.03.2021,-8174,"-1 297,3",4549,1028,0,03,3518,"2 358,9","1 635,6",1037,6196,6067,"2 426,4","2 906,3"
29.03.2021,"-1 168,3","-1 508,9",2502,1028,0,03,1471,"2 365,6","1 635,6",1106,6195,6066,"2 565,7","2 906,3"
26.03.2021,"-1 190,2","-1 460,7",2943,1028,0,04,1911,"2 361,8","1 635,6",107,6193,6069,"2 635,8","2 906,3"
25.03.2021,"-2 111,4","-1 638,1",1184,1028,0,04,151,"2 363,4","1 635,6",1086,6192,6069,"3 379,6","2 906,3"
24.03.2021,"-2 158,7","-1 456,6",1181,976,0,04,201,2 181,"1 424,4",1381,6185,6063,"3 608,4","2 906,3"
23.03.2021,"-2 143,1","-1 374,8",2031,976,0,04,1051,"2 184,1","1 424,4",1413,6184,6062,"3 674,7","2 906,3"
22.03.2021,"-1 992,9","-1 471,5",1031,976,0,04,51,"2 180,9","1 424,4",1382,6183,6064,"3 427,8","2 906,3"
19.03.2021,"-1 962,9","-1 472,4",1031,976,0,04,51,"2 181,8","1 424,4",1394,6181,6064,"3 396,9","2 906,3"
18.03.2021,"-1 793,9",-1 428,1032,976,0,05,51,"2 137,6","1 424,4",952,618,6064,"3 272,2","2 906,3"
17.03.2021,"-1 997,7","-1 871,7",1032,976,0,05,51,"2 581,3","1 868,6",962,6165,6064,"3 032,3","2 906,3"
16.03.2021,"-1 851,8","-1 879,9",1032,976,0,05,51,"2 588,8","1 869,1",1032,6165,6057,"2 878,2","2 906,3"
15.03.2021,"-2 012,4","-1 886,8",1031,976,0,05,51,"2 595,6","1 869,1",1101,6164,6056,"3 031,9","2 906,3"
12.03.2021,"-1 866,9","-1 871,5",1132,976,0,05,151,"2 591,9","1 869,1",1066,6162,6072,"2 901,7","2 906,3"
11.03.2021,"-1 682,9","-1 875,3",1032,976,0,05,51,2 586,"1 869,1",1008,6161,6075,"2 713,9","2 906,3"
10.03.2021,"-1 860,8","-3 083,3",1251,976,0,05,271,"3 815,9",3 001,2683,5467,6075,"1 602,5",2 825
09.03.2021,"-1 932,6","-2 212,5",1028,977,0,0,51,"2 922,7","2 079,6",2965,5466,6075,"2 545,1",2 825
05.03.2021,-1 717,"-2 022,8",1028,977,0,0,51,"2 733,3","2 079,6",1073,5464,6078,"2 519,2",2 825
04.03.2021,"-1 454,4",-2 029,1028,977,0,0,51,"2 739,8","2 079,6",1139,5463,608,"2 250,4",2 825
03.03.2021,"-1 603,4","-1 870,3",1027,977,0,0,51,"2 581,1",1 940,958,5453,6081,"2 558,1",2 825
02.03.2021,"-1 473,5","-1 902,4",1028,977,0,0,51,"2 613,4",1 940,1281,5453,6082,"2 396,1",2 825
01.03.2021,"-1 632,1","-1 895,4",104,977,0,01,63,"2 607,5",1 940,1223,5452,608,"2 561,7",2 825
26.02.2021,"-1 236,8","-1 873,7",1028,977,0,0,51,"2 585,5",1 940,1005,545,609,"2 188,1",2 825
25.02.2021,"-2 236,6","-1 882,6",1028,977,0,0,51,"2 595,5",1 940,1105,545,6101,"3 178,9",2 825
24.02.2021,"-2 319,6","-2 340,5",1028,977,0,01,51,"3 052,6",2 390,1201,5425,6092,"2 804,1",2 825
20.02.2021,"-2 067,7",-2 324,1028,977,0,0,51,"3 036,7",2 390,1045,5422,6099,"2 568,7",2 825
19.02.2021,"-2 009,6",-2 308,1028,977,0,0,51,"3 020,8",2 390,886,5422,610,"2 526,6",2 825
18.02.2021,"-2 018,6","-2 304,9",1028,977,0,01,51,"3 021,2",2 390,891,5421,6135,"2 538,7",2 825
17.02.2021,"-2 161,2",-7455,"1 159,2","1 154,1",0,0,51,"2 518,2",1 921,1002,497,6135,"4 240,7",2 825
16.02.2021,"-1 625,7",-7503,"1 159,2","1 154,1",0,0,51,"2 523,1",1 921,1051,497,6136,"3 700,4",2 825
15.02.2021,-1 929,-7437,"1 159,2","1 154,1",0,0,51,"2 516,3",1 921,984,4969,6133,"4 010,3",2 825
12.02.2021,"-1 784,6",-7408,"1 159,2","1 154,1",0,0,51,"2 513,8",1 921,962,4967,6138,"3 868,8",2 825
11.02.2021,"-1 719,7",-7416,"1 159,3","1 154,1",0,01,51,2 514,1 921,963,4967,6131,"3 803,1",2 825
10.02.2021,"-1 476,7","-3 400,1","1 159,2","1 154,1",0,0,51,"5 172,1","4 338,7",2779,5556,6128,8947,"2 818,1"
09.02.2021,"-1 072,7","-1 735,2","1 159,2","1 154,1",0,0,51,"3 507,1","1 823,9","1 127,6",5556,6127,"2 155,7","2 818,1"
08.02.2021,-9218,-7431,"1 159,2","1 154,1",0,0,51,2 515,"1 823,9",1356,5555,6127,"2 996,8","2 818,1"
05.02.2021,-5566,-6965,"1 159,2","1 154,1",0,0,51,"2 468,6","1 823,9",894,5553,6128,"2 678,2","2 818,1"
04.02.2021,-826,-796,"1 159,2","1 154,1",0,0,51,"1 850,5","1 188,7",1066,5552,6117,"2 821,1","2 818,1"
03.02.2021,659,5544,"1 159,2","1 154,1",0,0,51,"1 216,3",554,1071,5552,6115,"3 306,6","2 818,1"
02.02.2021,3362,6646,"1 279,2","1 154,1",0,0,1251,1 226,554,1169,5551,6113,"3 146,5","2 818,1"
01.02.2021,3183,7558,"1 361,1","1 154,1",0,0,207,"1 216,8",554,1077,5551,6114,"3 255,6","2 818,1"
29.01.2021,5652,9109,"1 509,3","1 154,1",0,0,3551,"1 210,9",554,102,5549,6126,"3 163,8","2 818,1"
28.01.2021,5431,6939,"1 309,2","1 154,1",0,0,1551,"1 227,8",554,119,5548,6125,"2 968,9","2 818,1"
27.01.2021,8083,"1 037,1","1 511,2","1 154,1",0,0,357,"1 086,4",400,1644,522,6123,"3 046,9","2 818,1"
26.01.2021,"1 023,8",8379,"1 309,2","1 154,1",0,0,1551,"1 083,7",400,1617,522,6124,"2 632,2","2 818,1"
25.01.2021,1681,6844,"1 159,2","1 154,2",0,0,51,"1 087,5",400,1656,5219,6127,"3 334,4","2 818,1"
22.01.2021,2293,6776,"1 159,2","1 154,2",0,0,51,"1 094,3",400,1726,5217,6127,"3 266,4","2 818,1"
21.01.2021,3379,7288,"1 159,2","1 154,2",0,0,51,"1 044,1",400,1224,5217,6137,3 209,"2 818,1"
20.01.2021,2055,2188,"1 309,3","1 154,2",0,0,1551,"1 704,1",1 080,1123,5118,6136,"2 831,4","2 818,1"
19.01.2021,3123,2135,"1 309,3","1 154,2",0,0,1551,"1 709,7",1 080,1179,5118,6139,"2 719,3","2 818,1"
18.01.2021,2047,787,"1 159,3","1 154,2",0,0,51,1 694,1 080,1023,5117,6135,"2 692,1","2 818,1"
15.01.2021,5353,74,"1 159,3","1 154,2",0,0,51,"1 699,3",1 080,1078,5115,614,"2 356,8","2 818,1"
