Дата / Дата / Дата / Дата / Дата / 1,Дефицит (+)/ профицит (-) ликвидности / Дефицит (+)/ профицит (-) ликвидности / Дефицит (+)/ профицит (-) ликвидности / Дефицит (+)/ профицит (-) ликвидности / Дефицит (+)/ профицит (-) ликвидности / 2 = 4 - 9 + 13 - 14 + 15,Дефицит (+)/ профицит (-) ликвидности без учета корсчетов / Дефицит (+)/ профицит (-) ликвидности без учета корсчетов / Дефицит (+)/ профицит (-) ликвидности без учета корсчетов / Дефицит (+)/ профицит (-) ликвидности без учета корсчетов / Дефицит (+)/ профицит (-) ликвидности без учета корсчетов / 3 = 4 - 9 + 13,в том числе / стандартные инструменты денежно-кредитной политики / требования Банка России к кредитным организациям / требования Банка России к кредитным организациям / требования Банка России к кредитным организациям / 4 = 5 + 6 + 7 + 8,в том числе / стандартные инструменты денежно-кредитной политики / в том числе / аукционы / репо и «валютный своп»** / 5,в том числе / стандартные инструменты денежно-кредитной политики / в том числе / аукционы / обеспеченные кредиты / 6,в том числе / стандартные инструменты денежно-кредитной политики / в том числе / операции постоянного действия / репо и «валютный своп»** / 7,в том числе / стандартные инструменты денежно-кредитной политики / в том числе / операции постоянного действия / обеспеченные кредиты / 8,в том числе / стандартные инструменты денежно-кредитной политики / обязательства Банка России перед кредитными организациями / обязательства Банка России перед кредитными организациями / обязательства Банка России перед кредитными организациями / 9 = 10 + 11 + 12,в том числе / стандартные инструменты денежно-кредитной политики / в том числе / депозиты / аукционы / 10,в том числе / стандартные инструменты денежно-кредитной политики / в том числе / депозиты / операции постоянного действия / 11,в том числе / стандартные инструменты денежно-кредитной политики / в том числе / КОБР / КОБР / 12,"в том числе / операции на возвратной основе, не относящиеся к стандартным инструментам денежно-кредитной политики (в том числе ДМ)* / операции на возвратной основе, не относящиеся к стандартным инструментам денежно-кредитной политики (в том числе ДМ)* / операции на возвратной основе, не относящиеся к стандартным инструментам денежно-кредитной политики (в том числе ДМ)* / операции на возвратной основе, не относящиеся к стандартным инструментам денежно-кредитной политики (в том числе ДМ)* / 13",Справочно: / Средства банков на корсчетах в Банке России / Средства банков на корсчетах в Банке России / Средства банков на корсчетах в Банке России / Средства банков на корсчетах в Банке России / 14,"Справочно: / Обязательные резервы, подлежащие усреднению на корсчетах*** / Обязательные резервы, подлежащие усреднению на корсчетах*** / Обязательные резервы, подлежащие усреднению на корсчетах*** / Обязательные резервы, подлежащие усреднению на корсчетах*** / 15"
27.11.2023,9052,"1 901,4","3 291,2",9923,0,0,"2 298,9","1 828,6",7497,"1 078,8",0,4387,"5 591,8","4 595,6"
24.11.2023,8083,"1 175,3","2 681,9",9923,0,0,"1 689,6",1 947,7497,"1 197,3",0,4404,"4 962,6","4 595,6"
23.11.2023,9218,"1 187,8",2 674,9924,0,0,"1 681,6","1 956,8",7497,"1 207,1",0,4707,"4 861,6","4 595,6"
22.11.2023,8075,6303,"2 683,4",9924,0,0,1 691,"2 515,1",1 500,"1 015,2",0,4621,"4 418,5","4 595,6"
21.11.2023,8662,6083,"2 585,5",9924,0,0,"1 593,1","2 584,3",1 500,"1 084,3",0,6071,"4 337,7","4 595,6"
20.11.2023,7738,1682,2 040,9924,0,0,"1 047,6","2 324,1",1 500,8241,0,4523,"3 990,1","4 595,6"
17.11.2023,8045,508,2 015,9924,0,0,"1 022,6","2 467,1",1 500,9672,0,5029,"3 841,9","4 595,6"
16.11.2023,7747,-813,"1 965,5",9924,0,0,9731,"2 560,2",1 500,"1 060,2",0,5134,"3 739,6","4 595,6"
15.11.2023,7535,"-1 883,5","2 073,4","1 099,7",0,0,9737,"4 550,4","3 168,4",1 382,0,5936,"1 925,5","4 562,5"
14.11.2023,925,"-1 888,8","2 024,1","1 099,9",0,0,9243,"4 501,5","3 495,1","1 006,3",0,5886,"1 748,7","4 562,5"
13.11.2023,9658,"-1 324,6","2 322,1","1 099,9",0,0,"1 222,2","4 130,3","3 141,2",9891,0,4836,2 272,"4 562,5"
10.11.2023,8124,"-1 605,9","2 262,4","1 099,9",0,0,"1 162,5",4 362,"3 117,9","1 244,1",0,4937,"2 144,2","4 562,5"
09.11.2023,7543,-1 204,"2 311,5","1 099,9",0,0,"1 211,6","4 029,3","2 117,9","1 911,4",0,5137,"2 604,1","4 562,5"
08.11.2023,"1 009,3",-9329,"2 462,3","1 099,9",0,0,"1 362,4","3 875,1",1 950,"1 925,1",0,4799,"2 620,2","4 562,5"
07.11.2023,9795,-524,"2 656,2","1 099,9",0,4,"1 552,4","3 605,2",1 950,"1 655,2",0,4249,3 059,"4 562,5"
06.11.2023,9706,-3746,"2 656,2","1 099,9",0,4,"1 552,4","3 455,8",1 950,"1 505,8",0,4249,"3 217,3","4 562,5"
03.11.2023,"1 158,2",-7539,"2 440,1","1 099,9",0,0,"1 340,2",3 669,1 950,1 719,0,475,"2 650,4","4 562,5"
02.11.2023,"1 181,8",-3548,"2 319,1","1 099,9",0,0,"1 219,2","3 098,9",1 950,"1 148,9",0,4251,"3 025,9","4 562,5"
01.11.2023,"1 025,8",-5271,"2 263,7","1 099,9",0,03,"1 163,5","3 336,1","1 562,4","1 773,7",0,5452,"3 009,6","4 562,5"
31.10.2023,"2 262,3",1864,"2 466,4",1 100,0,25,"1 363,8",2 910,"1 562,4","1 347,6",0,630,"2 486,6","4 562,5"
30.10.2023,"1 204,1","1 391,6","3 319,5","1 093,4",0,08,"2 225,3","2 333,3","1 562,4",7709,0,4054,4 750,"4 562,5"
27.10.2023,8362,5972,"3 048,1","1 093,4",0,0,"1 954,7","2 915,2","1 562,4","1 352,8",0,4644,"4 323,5","4 562,5"
26.10.2023,6944,9438,"3 129,8","1 093,4",0,08,"2 035,7","2 634,7","1 562,4","1 072,3",0,4487,"4 811,9","4 562,5"
25.10.2023,8972,"1 575,5","3 904,8","1 093,4",0,08,"2 810,7",2 792,"1 716,4","1 075,6",0,4626,"5 240,8","4 562,5"
24.10.2023,7883,"1 428,4","3 871,6","1 093,4",0,07,"2 777,5","2 926,5","1 716,4","1 210,1",0,4833,"5 202,6","4 562,5"
23.10.2023,7294,1 381,"3 635,9","1 093,4",0,0,"2 542,5","2 662,5","1 716,4",9462,0,4077,"5 214,1","4 562,5"
20.10.2023,7942,"1 271,4","3 795,9","1 093,4",0,0,"2 702,5","2 937,1","1 716,4","1 220,7",0,4126,"5 039,7","4 562,5"
19.10.2023,721,"2 194,7","4 348,2","1 093,6",0,11,"3 253,5","2 490,3","1 716,4",7739,0,3368,"6 036,2","4 562,5"
18.10.2023,7433,1 478,"4 316,3","1 093,6",0,03,"3 222,5","3 175,6",2 120,"1 055,6",0,3373,"5 297,2","4 562,5"
17.10.2023,7221,"1 942,7","4 376,1","1 093,6",0,596,3 223,"2 815,7",2 120,6957,0,3823,"5 783,1","4 562,5"
16.10.2023,658,"5 882,5",8 284,"1 093,6",0,1164,"7 074,1","2 738,6",2 120,6186,0,3371,9 787,"4 562,5"
13.10.2023,6152,"6 048,1","8 464,2","1 093,6",0,2295,"7 141,1","2 754,9",2 120,6349,0,3388,"9 995,4","4 562,5"
12.10.2023,5277,"5 645,1","8 071,6","1 093,6",0,0,6 978,"2 765,7",2 120,6457,0,3392,"9 679,9","4 562,5"
11.10.2023,329,"-1 922,1",2 067,"1 201,9",0,0,865,"4 328,4","3 337,8",9906,0,3393,"2 252,8","4 503,9"
10.10.2023,3565,"-1 650,7",2 022,1 202,0,0,820,4 012,3 127,885,0,3394,"2 496,7","4 503,9"
09.10.2023,2905,"-1 174,6","1 679,7","1 202,1",0,0,4776,"3 194,5","2 306,5",888,0,3402,"3 038,7","4 503,9"
06.10.2023,3799,"-1 423,6","1 580,2","1 202,1",0,0,3781,"3 348,5","2 306,5","1 042,1",0,3447,"2 700,4","4 503,9"
05.10.2023,445,"-1 255,8","1 499,2","1 202,1",0,0,2971,"3 096,8","2 306,5",7903,0,3417,"2 803,1","4 503,9"
04.10.2023,314,"-1 401,7","1 696,6","1 202,5",0,0,4941,"3 443,6","1 975,6",1 468,0,3453,"2 788,2","4 503,9"
03.10.2023,7023,"-1 076,2","1 849,3","1 202,6",0,0,6467,"3 270,7","1 975,6","1 295,1",0,3452,"2 725,3","4 503,9"
02.10.2023,8008,-4381,"2 107,4","1 202,7",0,03,9045,"2 889,7","1 975,6",9141,0,3442,3 265,"4 503,9"
29.09.2023,"1 190,3",-5288,"2 127,9","1 202,9",0,0,9249,3 001,"1 975,6","1 025,4",0,3443,"2 784,8","4 503,9"
28.09.2023,2968,"-1 270,4","1 345,2",1 203,0,0,1422,"2 940,2","1 975,6",9647,0,3246,"2 936,6","4 503,9"
27.09.2023,3075,"-1 322,3","1 259,9","1 203,1",0,0,567,"2 928,8","1 985,7",9431,0,3466,2 874,"4 503,9"
26.09.2023,4003,"-1 190,9","1 385,7","1 203,2",0,0,1824,"2 920,5","1 985,7",9349,0,344,"2 912,7","4 503,9"
25.09.2023,3172,"-1 287,9",1 316,"1 203,2",0,0,1128,"2 949,5","1 985,7",9639,0,3456,"2 898,7","4 503,9"
22.09.2023,3492,"-1 072,4","1 416,1","1 203,3",0,0,2128,2 834,"1 985,7",8483,0,3455,"3 082,2","4 503,9"
21.09.2023,3546,-9661,"1 447,4","1 203,3",0,04,2438,"2 758,7","1 985,7",773,0,3452,"3 183,2","4 503,9"
20.09.2023,3331,-6333,"1 697,6","1 203,3",0,05,4938,"2 675,7",1 120,"1 555,7",0,3449,"3 537,5","4 503,9"
19.09.2023,406,-1217,"1 692,6","1 203,3",0,05,4888,"2 159,2",1 120,"1 039,2",0,3449,"3 976,1","4 503,9"
18.09.2023,2595,"7 589,7",9 115,"1 198,7",0,297,"7 619,3","1 870,6",1 120,7506,0,3453,11 834,"4 503,9"
15.09.2023,2149,"7 838,5","9 234,9","1 198,7",0,2324,"7 803,8","1 742,5",1 120,6225,0,346,"12 127,5","4 503,9"
14.09.2023,1275,"7 490,9","8 903,5","1 198,7",0,2409,"7 463,8","1 759,7",1 120,6397,0,3471,"11 867,2","4 503,9"
13.09.2023,5,"-1 001,2","2 041,4","1 306,6",0,0,7348,"3 382,5","2 499,7",8828,0,3399,"3 379,1","4 385,3"
12.09.2023,-473,282,"2 352,8","1 306,6",0,0,"1 046,1","2 662,6","1 396,5","1 266,1",0,3381,"4 460,8","4 385,3"
11.09.2023,-709,4288,"2 437,3","1 306,6",0,04,"1 130,2",2 347,"1 396,5",9505,0,3386,4 885,"4 385,3"
08.09.2023,-92,865,"2 114,1","1 307,1",0,09,8062,"2 367,1","1 396,5",9706,0,3395,"4 563,8","4 385,3"
07.09.2023,-847,4649,"2 459,6","1 307,3",0,19,"1 150,4","2 335,1","1 396,5",9386,0,3404,"4 934,9","4 385,3"
06.09.2023,-1379,-326,"2 268,8","1 307,5",0,18,9595,"2 641,8","1 429,9","1 211,9",0,3404,"4 490,6","4 385,3"
05.09.2023,-123,1298,"2 399,1","1 307,6",0,05,1 091,2 612,"1 429,9","1 182,1",0,3428,"4 638,1","4 385,3"
04.09.2023,-977,-332,"2 341,8","1 307,6",0,0,"1 034,2","2 717,9","1 429,9",1 288,0,3428,"4 449,8","4 385,3"
01.09.2023,-452,1328,"2 396,5","1 307,7",0,0,"1 088,8","2 606,7","1 429,9","1 176,8",0,343,"4 563,3","4 385,3"
31.08.2023,199,616,"2 221,7","1 307,7",0,0,914,2 503,"1 429,9","1 073,1",0,3429,4 427,"4 385,3"
30.08.2023,16,-76,"2 147,1","1 307,7",0,0,8394,"2 556,9",1 320,"1 236,9",0,3338,"4 307,7","4 385,3"
29.08.2023,3141,6986,"2 722,7","1 307,7",0,06,"1 414,4","2 368,2",1 320,"1 048,2",0,3441,"4 769,8","4 385,3"
28.08.2023,-1323,-1639,"1 854,3","1 307,8",0,06,5459,"2 362,4",1 320,"1 042,4",0,3442,"4 353,7","4 385,3"
25.08.2023,-813,-1712,"1 972,4","1 307,9",0,06,6639,"2 487,6",1 320,"1 167,6",0,344,"4 295,4","4 385,3"
24.08.2023,-1716,-4412,"1 722,4",1 308,0,08,4136,2 508,1 320,1 188,0,3444,"4 115,7","4 385,3"
23.08.2023,-203,-4471,"1 762,2",1 308,0,06,4536,"2 552,8",1 470,"1 082,8",0,3435,"4 141,2","4 385,3"
22.08.2023,-1395,-19,2 075,1 308,0,18,7653,"2 437,7",1 470,9677,0,3437,"4 505,8","4 385,3"
21.08.2023,-813,-3684,"1 745,4",1 308,0,31,4343,"2 457,4",1 470,9874,0,3437,"4 098,2","4 385,3"
18.08.2023,-1278,-7223,1 356,1 308,0,27,453,"2 422,3",1 470,9523,0,344,"3 790,8","4 385,3"
17.08.2023,-936,-7102,"1 413,5",1 308,0,31,1024,"2 467,8",1 470,9978,0,3442,"3 768,7","4 385,3"
16.08.2023,-541,-7483,"1 446,2","1 307,8",0,31,1353,"2 536,7",1 290,"1 246,7",0,3422,"3 691,1","4 385,3"
15.08.2023,-1333,"6 824,7","8 831,6","1 288,8",0,4779,"7 064,9","2 351,9",1 290,"1 061,9",0,3449,"11 343,3","4 385,3"
14.08.2023,-1033,-7319,"1 413,8","1 288,8",0,15,1234,"2 493,8",1 290,"1 203,8",0,3481,"3 756,7","4 385,3"
11.08.2023,-1057,-800,"1 368,5","1 288,9",0,05,791,"2 516,7",1 290,"1 226,7",0,3482,3 691,"4 385,3"
10.08.2023,-686,-6195,"1 424,9",1 289,0,46,1313,"2 393,4",1 290,"1 103,4",0,3491,"3 834,4","4 385,3"
09.08.2023,-1022,"-2 087,7","1 521,2","1 289,1",0,35,2285,"3 957,5","3 167,5",7901,0,3487,"2 270,3","4 255,8"
08.08.2023,-1567,-1 473,"1 354,6","1 289,1",0,5,605,"3 173,5","1 959,7","1 213,8",0,3459,"2 939,5","4 255,8"
07.08.2023,-2305,"-1 147,8","1 353,9","1 289,1",0,46,602,"2 850,1","1 959,7",8904,0,3484,"3 338,5","4 255,8"
04.08.2023,-3089,"-1 168,8","1 453,2","1 289,2",0,41,160,"2 970,6","1 959,7","1 010,9",0,3486,"3 395,9","4 255,8"
03.08.2023,-1699,"-1 120,5","1 441,4","1 289,2",0,36,1487,"2 911,2","1 959,7",9515,0,3493,"3 305,2","4 255,8"
02.08.2023,-3478,"-1 069,8","1 452,1","1 289,8",0,3,1593,"2 865,7","1 748,7","1 117,1",0,3439,"3 533,8","4 255,8"
01.08.2023,12,-2771,"2 024,3","1 289,8",0,3,7315,"2 644,3","1 748,7",8956,0,3429,"3 966,7","4 255,8"
31.07.2023,7726,-1138,"2 232,3","1 289,9",0,29,9395,"2 688,2","1 748,7",9395,0,3421,"3 369,4","4 255,8"
28.07.2023,-137,-9016,"1 443,3","1 289,9",0,29,1505,"2 689,5","1 748,7",9409,0,3446,"3 367,9","4 255,8"
27.07.2023,-1959,-9609,"1 367,2","1 289,9",0,21,752,"2 671,8","1 748,7",9231,0,3437,"3 490,8","4 255,8"
26.07.2023,-999,-5282,"1 431,4","1 289,9",0,13,1401,"2 302,4",1 390,9124,0,3429,"3 827,5","4 255,8"
25.07.2023,-1105,-5239,"1 436,8","1 289,9",0,18,1451,"2 302,3",1 390,9123,0,3416,"3 842,4","4 255,8"
24.07.2023,-288,"4 600,5","6 363,6","1 283,7",0,2334,"4 846,5","2 104,5",1 390,7145,0,3414,"9 144,3","4 255,8"
21.07.2023,-2671,9248,"2 632,5","1 283,7",0,07,"1 348,1",2 047,1 390,657,0,3393,"5 447,7","4 255,8"
20.07.2023,-2506,6087,"2 377,6","1 283,8",0,07,"1 093,1","2 104,7",1 390,7147,0,3357,"5 115,1","4 255,8"
19.07.2023,-314,-437,"1 473,4","1 377,9",0,0,955,"2 245,8","1 409,9",8359,0,3354,"4 132,8","4 255,8"
18.07.2023,-2747,-4508,"1 507,6",1 378,0,23,1274,"2 292,7","1 409,9",8827,0,3342,"4 079,7","4 255,8"
17.07.2023,-3039,-4547,1 535,1 378,0,21,1549,2 319,"1 409,9",909,0,3293,4 105,"4 255,8"
14.07.2023,-2623,-3502,"1 682,7",1 378,0,25,3023,"2 361,4","1 409,9",9515,0,3285,"4 167,9","4 255,8"
13.07.2023,-3871,-2229,"1 762,7",1 378,0,25,3822,"2 313,2","1 409,9",9032,0,3276,4 420,"4 255,8"
12.07.2023,"-1 101,5","-1 917,8","1 716,3",1 378,0,08,3375,"3 960,7","2 900,4","1 060,2",0,3266,"2 805,1","3 621,4"
11.07.2023,-1 060,"-1 286,4","1 556,2","1 378,1",0,1,177,"3 169,7",2 216,9537,0,3271,3 395,"3 621,4"
10.07.2023,-6127,"-1 124,7",1 693,"1 378,1",0,12,3136,"3 145,1",2 216,9291,0,3275,"3 109,4","3 621,4"
07.07.2023,-9157,-8543,"1 853,2","1 378,1",0,15,4736,"3 039,2",2 216,8232,0,3317,"3 682,8","3 621,4"
06.07.2023,"-1 200,9",-7347,"1 921,3","1 378,2",0,0,5432,2 988,2 216,772,0,332,"4 087,6","3 621,4"
05.07.2023,-1 206,-6939,"1 862,3","1 378,2",0,1,4832,"2 888,8","1 746,6","1 142,2",0,3326,"4 133,5","3 621,4"
04.07.2023,-1 102,-5494,"1 838,7","1 378,2",0,15,459,"2 720,5","1 746,6",9739,0,3324,4 174,"3 621,4"
03.07.2023,"-1 026,6",-5464,"1 926,5","1 378,3",0,15,5467,"2 754,4","1 746,6","1 007,8",0,2816,"4 101,6","3 621,4"
30.06.2023,"-1 050,1",-4529,"1 905,8","1 378,3",0,0,5275,"2 687,3","1 746,6",9407,0,3286,"4 218,6","3 621,4"
29.06.2023,-8185,-4097,"1 814,6","1 378,3",0,03,436,"2 560,6","1 746,6",814,0,3362,"4 030,1","3 621,4"
28.06.2023,-8592,"-1 049,7",1 500,"1 378,3",0,14,1203,2 887,"1 828,3","1 058,7",0,3374,"3 430,9","3 621,4"
27.06.2023,-8565,"-1 059,4","1 550,7","1 378,3",0,16,1708,"2 947,2","1 828,3","1 118,9",0,3371,"3 418,5","3 621,4"
26.06.2023,"-1 118,5","-1 050,5","1 500,2","1 378,3",0,12,1208,"2 887,8","1 828,3","1 059,5",0,3371,"3 689,4","3 621,4"
23.06.2023,"-1 089,4","-1 022,5","1 533,7","1 378,4",0,0,1553,"2 890,2","1 828,3","1 061,9",0,3341,"3 688,3","3 621,4"
22.06.2023,"-1 115,6",-9807,"1 558,8","1 378,4",0,0,1804,2 873,"1 828,3","1 044,6",0,3335,"3 756,3","3 621,4"
21.06.2023,"-1 030,3",-996,"1 618,2","1 472,6",0,0,1456,"2 947,7",1 990,9577,0,3334,"3 655,7","3 621,4"
20.06.2023,"-1 007,9",-9649,"1 592,3","1 472,7",0,07,1189,"2 890,1",1 990,9001,0,333,"3 664,4","3 621,4"
19.06.2023,"-1 027,9",-9566,"1 592,2","1 472,7",0,07,1189,"2 881,9",1 990,8919,0,333,"3 692,6","3 621,4"
16.06.2023,-7189,-9499,"1 591,3","1 472,7",0,0,1187,"2 875,2",1 990,8852,0,334,"3 390,4","3 621,4"
15.06.2023,"-1 140,8",-9774,"1 591,1","1 472,7",0,0,1184,"2 898,8",1 990,9088,0,3303,"3 784,7","3 621,4"
14.06.2023,-9435,"-1 415,4","1 982,4","1 472,7",0,0,5097,"3 729,6","2 849,3",8804,0,3318,"3 139,6","3 611,6"
13.06.2023,"-1 093,9",-1 272,"1 630,1","1 472,7",0,17,1558,"3 237,9","2 249,3",9886,0,3358,"3 433,5","3 611,6"
09.06.2023,"-1 133,5","-1 167,5",1 683,"1 472,7",0,0,2103,"3 187,1","2 249,3",9378,0,3366,"3 577,6","3 611,6"
08.06.2023,"-1 121,7","-1 198,9","1 676,9","1 472,7",0,0,2042,"3 213,3","2 249,3",9641,0,3375,"3 534,3","3 611,6"
07.06.2023,-1 132,"-1 343,4","1 692,2","1 472,7",0,0,2195,"3 373,6","2 401,2",9723,0,338,"3 400,2","3 611,6"
06.06.2023,"-1 319,1","-1 397,4","1 698,3","1 472,7",0,0,2256,"3 434,2","2 401,2","1 032,9",0,3385,"3 533,3","3 611,6"
05.06.2023,-7866,"-1 221,4","1 721,8","1 472,7",0,0,2492,"3 282,5","2 401,2",8813,0,3393,"3 176,7","3 611,6"
02.06.2023,-1 184,"-1 218,1","1 651,8","1 472,8",0,0,1791,"3 209,7","2 401,2",8085,0,3398,"3 577,4","3 611,6"
01.06.2023,-6616,-9277,"1 978,5","1 472,8",0,0,5057,"3 246,2","2 401,2",8449,0,340,"3 345,5","3 611,6"
31.05.2023,-3131,-3809,"2 044,2","1 472,8",0,0,5715,"2 763,5",1 650,"1 113,5",0,3384,"3 543,7","3 611,6"
30.05.2023,-185,-368,"1 987,1","1 472,8",0,0,5144,"2 693,1",1 650,"1 043,1",0,338,"3 428,6","3 611,6"
29.05.2023,"-1 390,2",-7878,"1 623,3","1 472,8",0,0,1506,"2 751,3",1 650,"1 101,3",0,3401,"4 213,9","3 611,6"
26.05.2023,"-1 376,3",-7693,"1 533,8","1 472,8",0,0,611,2 644,1 650,994,0,3408,"4 218,5","3 611,6"
25.05.2023,"-1 334,2",-7599,"1 518,5","1 472,8",0,0,457,"2 615,6",1 650,9656,0,3372,"4 185,8","3 611,6"
24.05.2023,"-1 337,6",-911,"1 539,3","1 472,8",0,0,665,"2 785,9",2 020,7659,0,3356,"4 038,1","3 611,6"
23.05.2023,"-1 288,6",-9963,"1 544,3","1 472,8",0,0,715,"2 871,3",2 020,8513,0,3308,"3 903,9","3 611,6"
22.05.2023,"-1 432,2","-1 077,1","1 545,9","1 472,8",0,0,731,"2 955,9",2 020,9359,0,333,"3 966,7","3 611,6"
19.05.2023,"-1 402,8","-1 031,7",1 489,"1 472,8",0,0,162,"2 858,1",2 020,8381,0,3374,"3 982,6","3 611,6"
18.05.2023,"-1 455,6",-896,1 527,"1 472,8",0,0,543,"2 759,5",2 020,7395,0,3365,"4 171,2","3 611,6"
17.05.2023,"-1 505,4","-2 113,4","1 828,3","1 718,6",0,0,1097,"4 275,9","3 305,4",9705,0,3342,"2 939,9","3 547,8"
16.05.2023,"-1 297,4","-1 990,9","1 765,2","1 718,6",0,0,466,"4 091,4","3 310,3",7812,0,3353,"2 854,3","3 547,8"
15.05.2023,"-1 179,1","-1 084,9","1 813,6","1 718,6",0,0,95,"3 234,3","2 330,2",9042,0,3358,3 642,"3 547,8"
12.05.2023,"-1 051,9","-1 045,4","1 798,6","1 718,6",0,0,80,"3 178,9","2 330,2",8488,0,3349,"3 554,4","3 547,8"
11.05.2023,"-1 124,3",-9782,"1 878,1","1 718,6",0,0,1595,"3 179,5","2 330,2",8493,0,3231,"3 693,9","3 547,8"
10.05.2023,-7109,-8441,"1 799,4","1 718,6",0,1,798,"2 927,8","1 977,5",9503,0,2842,"3 414,6","3 547,8"
08.05.2023,-699,-8197,"1 799,4","1 718,6",0,1,798,"2 903,3","1 977,5",9258,0,2842,"3 427,2","3 547,8"
05.05.2023,-9251,-6345,"1 820,3","1 718,6",0,0,1017,"2 769,7","1 977,5",7922,0,3149,"3 838,5","3 547,8"
04.05.2023,"-1 550,2",-6256,"1 806,4","1 718,6",0,0,878,"2 769,2","1 977,5",7917,0,3372,"4 472,5","3 547,8"
03.05.2023,-5402,-8087,"1 832,5","1 718,6",0,57,1082,"2 977,6",1 990,9876,0,3364,"3 279,4","3 547,8"
02.05.2023,5004,-6415,"2 028,8","1 718,6",0,41,3061,"3 006,6",1 990,"1 016,6",0,3363,"2 405,9","3 547,8"
28.04.2023,"-1 397,6",-8311,"1 816,1","1 718,6",0,0,974,"2 988,9",1 990,9989,0,3418,"4 114,3","3 547,8"
27.04.2023,"-1 496,6",-9289,1 814,"1 718,6",0,73,88,"3 082,3",1 990,"1 092,3",0,3394,"4 115,5","3 547,8"
26.04.2023,"-1 703,7","-1 076,8","1 812,7","1 718,6",0,73,867,"3 225,4","2 254,1",9713,0,336,"4 174,8","3 547,8"
25.04.2023,"-1 665,2",-8722,"1 811,7","1 718,6",0,73,858,"3 029,6","2 254,1",7754,0,3456,"4 340,8","3 547,8"
24.04.2023,"-1 488,6",-833,"1 846,6","1 718,6",0,73,1207,"3 024,5","2 254,1",7704,0,3449,"4 203,4","3 547,8"
21.04.2023,"-1 551,5",-857,"1 836,7","1 718,6",0,76,1104,2 996,"2 254,1",7419,0,3024,"4 242,3","3 547,8"
20.04.2023,"-1 577,5",-8421,1 817,"1 718,6",0,76,907,3 003,"2 254,1",7488,0,3439,"4 283,2","3 547,8"
19.04.2023,"-1 536,5","-1 169,1","1 849,8","1 764,9",0,49,80,"3 343,8","2 605,4",7385,0,3249,"3 915,2","3 547,8"
18.04.2023,"-1 421,4","-1 184,3","1 851,4","1 764,9",0,78,787,"3 381,3","2 605,4",776,0,3456,3 785,"3 547,8"
17.04.2023,"-1 519,9","-1 229,7","1 852,5","1 764,9",0,78,798,"3 388,7","2 605,4",7833,0,3064,3 838,"3 547,8"
14.04.2023,"-1 661,7","-1 227,7","1 903,8","1 764,9",0,78,131,"3 440,1","2 605,4",8348,0,3087,"3 981,9","3 547,8"
13.04.2023,"-1 515,8","-1 120,2","1 899,5",1 765,0,78,1267,"3 365,7","2 605,4",7603,0,346,"3 943,5","3 547,8"
12.04.2023,"-1 363,6","-2 359,3","1 912,5","1 765,1",0,37,1437,"4 621,5","3 698,4",9231,0,3497,"1 457,5","2 453,2"
11.04.2023,"-1 594,9","-1 662,8","1 936,4","1 765,1",0,78,1635,"3 948,5","2 772,9","1 175,7",0,3493,"2 385,3","2 453,2"
10.04.2023,-5936,"-1 339,2","1 926,8","1 765,3",0,78,1537,"3 616,8","2 772,9",844,0,3509,"1 707,6","2 453,2"
07.04.2023,-6211,"-1 345,1","1 944,4","1 765,3",0,77,1714,"3 640,6","2 772,9",8677,0,351,"1 729,2","2 453,2"
06.04.2023,-7859,"-1 396,4","1 955,4","1 765,3",0,77,1823,"3 674,3","2 772,9",9014,0,3225,"1 842,7","2 453,2"
05.04.2023,-1 797,"-1 242,5",1 952,"1 765,6",0,76,1788,"3 517,2",2 450,"1 067,2",0,3227,"3 007,7","2 453,2"
04.04.2023,"-2 145,4","-1 206,1","1 936,8","1 765,6",0,76,1635,"3 488,9",2 450,"1 038,9",0,346,"3 392,6","2 453,2"
03.04.2023,"-1 978,7","-1 117,9","2 071,9","1 765,6",0,76,2987,"3 544,3",2 450,"1 094,3",0,3545,3 314,"2 453,2"
31.03.2023,"-2 364,8","-1 149,3","1 992,6","1 765,6",0,68,2202,"3 489,2",2 450,"1 039,2",0,3473,"3 668,8","2 453,2"
30.03.2023,"-1 776,7","-1 098,9","1 986,6","1 765,6",0,22,2187,"3 435,8",2 450,9858,0,3503,3 131,"2 453,2"
29.03.2023,539,"-1 291,9","2 367,8","1 765,9",0,01,6019,"4 012,8","3 049,6",9633,0,3531,"1 107,5","2 453,2"
28.03.2023,"-1 538,9",-1 806,"1 956,8","1 765,9",0,0,1909,"4 115,7","3 049,6","1 066,1",0,3529,"2 186,1","2 453,2"
27.03.2023,"-1 973,8","-1 913,2","1 951,5","1 765,9",0,0,1856,"4 219,9","3 049,6","1 170,4",0,3553,"2 513,8","2 453,2"
24.03.2023,"-2 036,1","-1 814,3","2 000,5","1 765,9",0,0,2346,"4 170,5","3 049,6","1 120,9",0,3558,"2 675,1","2 453,2"
23.03.2023,"-2 063,5","-1 873,4","2 010,2","1 765,9",0,0,2444,"4 240,4","3 049,6","1 190,8",0,3567,"2 643,3","2 453,2"
22.03.2023,"-2 155,4",-2 054,"1 916,8","1 668,5",0,0,2483,"4 327,2","3 243,4","1 083,9",0,3564,"2 554,6","2 453,2"
21.03.2023,"-2 193,9",-2 121,1 912,"1 668,6",0,0,2434,"4 390,1","3 243,4","1 146,8",0,3572,"2 526,2","2 453,2"
